RULING_YEAR,NTEE_NAME,EIN
1900,Education,1
1900,Religion-Related,3
1903,"Arts, Culture and Humanities",1
1920,Education,1
1920,Human Services,2
1921,Religion-Related,1
1922,Human Services,1
1923,Human Services,1
1924,"Arts, Culture and Humanities",1
1924,Education,1
1925,Education,1
1925,Human Services,1
1926,"Arts, Culture and Humanities",1
1926,Human Services,1
1927,"Arts, Culture and Humanities",2
1928,"Arts, Culture and Humanities",2
1932,"Arts, Culture and Humanities",1
1932,Education,1
1933,"Arts, Culture and Humanities",1
1933,Education,3
1933,Human Services,1
1934,"Arts, Culture and Humanities",1
1934,Education,3
1934,Human Services,7
1934,"Philanthropy, Voluntarism and Grantmaking Foundations",2
1935,"Arts, Culture and Humanities",2
1935,Education,3
1935,Human Services,5
1936,"Arts, Culture and Humanities",2
1936,Education,2
1936,Human Services,1
1937,"Arts, Culture and Humanities",2
1937,Education,1
1937,Human Services,3
1938,"Arts, Culture and Humanities",7
1938,Education,8
1938,Human Services,6
1939,Education,5
1939,Human Services,1
1940,Education,1
1940,Human Services,5
1940,Religion-Related,2
1941,"Arts, Culture and Humanities",1
1941,Education,7
1941,Human Services,5
1941,"Philanthropy, Voluntarism and Grantmaking Foundations",1
1941,Religion-Related,2
1942,"Arts, Culture and Humanities",1
1942,Education,6
1942,Human Services,19
1942,"Philanthropy, Voluntarism and Grantmaking Foundations",1
1942,Religion-Related,1
1943,"Arts, Culture and Humanities",1
1943,Education,6
1943,Human Services,2
1943,"Philanthropy, Voluntarism and Grantmaking Foundations",1
1943,Religion-Related,1
1944,"Arts, Culture and Humanities",1
1944,Education,1
1944,Human Services,3
1944,Religion-Related,1
1945,"Arts, Culture and Humanities",16
1945,Education,4
1945,Human Services,2
1945,"Philanthropy, Voluntarism and Grantmaking Foundations",1
1945,Religion-Related,1
1946,"Arts, Culture and Humanities",7
1946,Education,12
1946,Human Services,16
1946,Religion-Related,7
1947,Education,2
1947,Human Services,2
1947,"Philanthropy, Voluntarism and Grantmaking Foundations",1
1947,Religion-Related,1
1948,"Arts, Culture and Humanities",1
1948,Education,2
1948,Human Services,1
1949,"Arts, Culture and Humanities",5
1949,Education,6
1949,Human Services,2
1949,"Philanthropy, Voluntarism and Grantmaking Foundations",4
1949,Religion-Related,1
1950,"Arts, Culture and Humanities",1
1950,Education,3
1950,Human Services,1
1950,"Philanthropy, Voluntarism and Grantmaking Foundations",3
1951,"Arts, Culture and Humanities",3
1951,Education,7
1951,Human Services,4
1951,"Philanthropy, Voluntarism and Grantmaking Foundations",1
1952,"Arts, Culture and Humanities",5
1952,Education,142
1952,Human Services,2
1952,"Philanthropy, Voluntarism and Grantmaking Foundations",1
1952,Religion-Related,2
1953,"Arts, Culture and Humanities",2
1953,Education,1
1953,Human Services,4
1953,"Philanthropy, Voluntarism and Grantmaking Foundations",3
1954,"Arts, Culture and Humanities",1
1954,Education,10
1954,Human Services,2
1954,"Philanthropy, Voluntarism and Grantmaking Foundations",1
1955,"Arts, Culture and Humanities",15
1955,Education,6
1955,Human Services,1
1955,Religion-Related,4
1956,"Arts, Culture and Humanities",3
1956,Education,5
1956,Human Services,1
1957,"Arts, Culture and Humanities",1
1957,Education,5
1957,Human Services,2
1957,"Philanthropy, Voluntarism and Grantmaking Foundations",2
1957,Religion-Related,1
1958,"Arts, Culture and Humanities",5
1958,Education,2
1958,"Philanthropy, Voluntarism and Grantmaking Foundations",1
1958,Religion-Related,1
1959,"Arts, Culture and Humanities",4
1959,Education,3
1959,Human Services,6
1959,Religion-Related,1
1960,"Arts, Culture and Humanities",3
1960,Education,8
1960,Religion-Related,1
1961,"Arts, Culture and Humanities",1
1961,Human Services,1
1961,"Philanthropy, Voluntarism and Grantmaking Foundations",1
1961,Religion-Related,1
1962,"Arts, Culture and Humanities",6
1962,Human Services,1
1962,"Philanthropy, Voluntarism and Grantmaking Foundations",2
1962,Religion-Related,2
1963,"Arts, Culture and Humanities",11
1963,Education,9
1963,Human Services,6
1963,"Philanthropy, Voluntarism and Grantmaking Foundations",1
1963,Religion-Related,2
1964,"Arts, Culture and Humanities",7
1964,Education,7
1964,Human Services,7
1964,"Philanthropy, Voluntarism and Grantmaking Foundations",3
1964,Religion-Related,6
1965,"Arts, Culture and Humanities",7
1965,Education,8
1965,Human Services,9
1965,"Philanthropy, Voluntarism and Grantmaking Foundations",1
1965,Religion-Related,1
1966,"Arts, Culture and Humanities",7
1966,Education,10
1966,Human Services,5
1966,"Philanthropy, Voluntarism and Grantmaking Foundations",4
1967,"Arts, Culture and Humanities",7
1967,Education,8
1967,Human Services,4
1967,"Philanthropy, Voluntarism and Grantmaking Foundations",3
1967,Religion-Related,1
1968,"Arts, Culture and Humanities",8
1968,Education,11
1968,Human Services,3
1968,"Philanthropy, Voluntarism and Grantmaking Foundations",1
1968,Religion-Related,7
1969,"Arts, Culture and Humanities",7
1969,Education,9
1969,Human Services,2
1969,"Philanthropy, Voluntarism and Grantmaking Foundations",2
1969,Religion-Related,9
1970,"Arts, Culture and Humanities",10
1970,Education,14
1970,Human Services,11
1970,"Philanthropy, Voluntarism and Grantmaking Foundations",4
1970,Religion-Related,7
1971,"Arts, Culture and Humanities",10
1971,Education,29
1971,Human Services,5
1971,"Philanthropy, Voluntarism and Grantmaking Foundations",3
1971,Religion-Related,2
1972,"Arts, Culture and Humanities",26
1972,Education,10
1972,Human Services,19
