RULING_YEAR,EIN
1900.0,34
1901.0,1
1903.0,1
1914.0,1
1920.0,7
1921.0,7
1922.0,6
1923.0,4
1924.0,4
1925.0,5
1926.0,4
1927.0,6
1928.0,7
1929.0,3
1930.0,2
1931.0,4
1932.0,8
1933.0,16
1934.0,42
1935.0,59
1936.0,16
1937.0,49
1938.0,61
1939.0,37
1940.0,633
1941.0,497
1942.0,195
1943.0,106
1944.0,133
1945.0,456
1946.0,983
1947.0,78
1948.0,59
1949.0,199
1950.0,109
1951.0,391
1952.0,953
1953.0,109
1954.0,144
1955.0,267
1956.0,101
1957.0,220
1958.0,126
1959.0,115
1960.0,151
1961.0,122
1962.0,115
1963.0,229
1964.0,477
1965.0,439
1966.0,268
1967.0,421
1968.0,524
1969.0,244
1970.0,444
1971.0,998
1972.0,982
1973.0,308
1974.0,383
1975.0,406
1976.0,311
1977.0,334
1978.0,287
1979.0,816
1980.0,388
1981.0,445
1982.0,437
1983.0,653
1984.0,489
1985.0,692
1986.0,728
1987.0,485
1988.0,570
1989.0,508
1990.0,534
1991.0,597
1992.0,633
1993.0,677
1994.0,750
1995.0,732
1996.0,720
1997.0,818
1998.0,761
1999.0,938
2000.0,882
2001.0,888
2002.0,909
2003.0,853
2004.0,985
2005.0,859
2006.0,927
2007.0,985
2008.0,886
2009.0,1127
2010.0,1112
2011.0,960
2012.0,1029
2013.0,1014
2014.0,2548
2015.0,1856
2016.0,1898
2017.0,1854
2018.0,1885
2019.0,2491
2020.0,2674
2021.0,2923
2022.0,3457
2023.0,1506
