CITY,FUND_TYPE,AMOUNT,CITY_TARGET
AARONSBURG,INCOME_AMT,243287.0,0
ABBEBVILLE,INCOME_AMT,0.0,0
ABBEVILLE,INCOME_AMT,106803356.0,0
ABBOT,INCOME_AMT,8279.0,0
ABBOTSFORD,INCOME_AMT,466972.0,0
ABBOTT,INCOME_AMT,1035895.0,0
ABBOTT PARK,INCOME_AMT,104183931.0,0
ABBOTTSTOWN,INCOME_AMT,3446326.0,0
ABBYVILLE,INCOME_AMT,0.0,0
ABER PROV GRD,INCOME_AMT,406703.0,0
ABERCROMBIE,INCOME_AMT,0.0,0
ABERDEEN,INCOME_AMT,676186476.0,0
ABERDEEN CITY,INCOME_AMT,0.0,0
ABERDEEN PROVING GROUN,INCOME_AMT,0.0,0
ABERNANT,INCOME_AMT,0.0,0
ABERNATHY,INCOME_AMT,0.0,0
ABGINTON,INCOME_AMT,0.0,0
ABILENE,INCOME_AMT,2571634409.0,0
ABINGDON,INCOME_AMT,219350119.0,0
ABINGTON,INCOME_AMT,28751477.0,0
ABIQUIU,INCOME_AMT,5845506.0,0
ABITA SPRINGS,INCOME_AMT,1778181.0,0
ABLEMARLE,INCOME_AMT,0.0,0
ABRAMS,INCOME_AMT,689803.0,0
ABSARAKA,INCOME_AMT,19711.0,0
ABSAROKEE,INCOME_AMT,291617.0,0
ABSECON,INCOME_AMT,9655538.0,0
ACADEMY,INCOME_AMT,0.0,0
ACAMPO,INCOME_AMT,3671662.0,0
ACCIDENT,INCOME_AMT,1022110.0,0
ACCOKEEK,INCOME_AMT,8023643.0,0
ACCOMAC,INCOME_AMT,2562349.0,0
ACCORD,INCOME_AMT,17785769.0,0
ACCOVILLE,INCOME_AMT,0.0,0
ACE,INCOME_AMT,96363.0,0
ACHILE,INCOME_AMT,0.0,0
ACHILLES,INCOME_AMT,0.0,0
ACKERMAN,INCOME_AMT,223273.0,0
ACKLEY,INCOME_AMT,5535042.0,0
ACKWORTH,INCOME_AMT,0.0,0
ACME,INCOME_AMT,5005698.0,0
ACOMA,INCOME_AMT,0.0,0
ACRA,INCOME_AMT,958714.0,0
ACTEN HILL,INCOME_AMT,0.0,0
ACTON,INCOME_AMT,62630185.0,0
ACUFF,INCOME_AMT,0.0,0
ACUSHNET,INCOME_AMT,1334550.0,0
ACWORTH,INCOME_AMT,22726488.0,0
ADA,INCOME_AMT,492503079.0,0
ADAIR,INCOME_AMT,539852.0,0
ADAIR VILLAGE,INCOME_AMT,6892362.0,0
ADAIRSVILLE,INCOME_AMT,1577946.0,0
ADAIRVILLE,INCOME_AMT,0.0,0
ADAK,INCOME_AMT,881476.0,0
ADAMANT,INCOME_AMT,214134.0,0
ADAMS,INCOME_AMT,14481887.0,0
ADAMS BASIN,INCOME_AMT,0.0,0
ADAMS CENTER,INCOME_AMT,85542.0,0
ADAMS MILLS,INCOME_AMT,0.0,0
ADAMS RUN,INCOME_AMT,0.0,0
ADAMSBURG,INCOME_AMT,442506.0,0
ADAMSTOWN,INCOME_AMT,2237068.0,0
ADAMSVILLE,INCOME_AMT,1412894.0,0
ADAMSVILLLE,INCOME_AMT,0.0,0
ADDIEVILLE,INCOME_AMT,174130.0,0
