EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME,RULING_YEAR,NTEE_NAME,CLUSTER_KMEANS
10757719,HEALTHY FORESTS HEALTHY COMMUNITIES,,700 NE MULTNOMAH ST STE 320,PORTLAND,OR,97232-4103,0,4,3,1000,2003-06-01,2,0,0,1,1,202212.0,4,3,1,0,12,105978.0,71534.0,71534.0,C36,,2003.0,Environment,0
10887467,HABANA WORKS INC,% HABANA WORKS,1036 ESPLANADE AVE,NEW ORLEANS,LA,70116-1962,0,3,3,1000,2007-08-01,1,15,0,1,1,202112.0,1,0,2,0,12,1553.0,0.0,0.0,C99,,2007.0,Environment,0
10918435,BASEL ACTION NETWORK,% JIM PUCKETT,80 YESLER WAY STE 300,SEATTLE,WA,98104-2562,0,3,3,2100,2009-03-01,1,15,0,1,1,202112.0,4,6,1,0,12,485205.0,1088449.0,1088449.0,C30,,2009.0,Environment,0
20552421,PACIFIC NORTHWEST FOREST SERVICE ASSOCIATION INC,,PO BOX 5583,PORTLAND,OR,97228-5583,0,3,3,2000,2002-06-01,1,15,0,1,1,202212.0,4,3,2,0,12,129643.0,42335.0,23346.0,C30,,2002.0,Environment,0
30456181,COLUMBIA SLOUGH WATERSHED COUNCIL INC,,7040 NE 47TH AVE,PORTLAND,OR,97218-1212,0,3,3,2100,2003-08-01,1,15,0,1,1,202206.0,4,5,1,0,6,274979.0,634850.0,634850.0,C32,,2003.0,Environment,0
30529330,ROGUE FARM CORPS,,3623 SE 76TH AVE,PORTLAND,OR,97206-2443,0,3,3,2000,2004-10-01,1,15,0,1,1,202112.0,4,4,1,0,12,181731.0,435238.0,435238.0,C40,,2004.0,Environment,0
50595291,CIRCUMPOLAR CONSERVATION UNION,% PEACE DEVELOPMENT FUND,2144 SE SALMON ST,PORTLAND,OR,97214-3844,0,3,3,1000,2004-09-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C30,,2004.0,Environment,0
61664153,GRIST MAGAZINE INC,,1501 E MADISON ST,SEATTLE,WA,98122-4499,0,3,3,3000,2003-04-01,1,15,0,1,1,202109.0,7,7,1,0,9,8834891.0,8996681.0,8804912.0,C99,,2003.0,Environment,0
113804249,FRIENDS OF PALMER PARK,% ERIN RIBKA,8220 NERON PL,NEW ORLEANS,LA,70118-2965,0,3,3,1000,2015-02-01,1,15,0,1,1,202012.0,0,0,2,0,12,0.0,0.0,0.0,C50,,2015.0,Environment,0
161663698,COOPER SPUR WILD AND FREE,% HRVRC CAROL PORTO,8125 SW 71ST AVE,PORTLAND,OR,97223-9305,0,3,3,1200,2005-09-01,1,15,0,1,1,202212.0,1,1,2,0,12,4633.0,194.0,194.0,C05,,2005.0,Environment,0
200418896,KILLER WHALE TALES,,5623 46TH AVE SW,SEATTLE,WA,98136-1402,0,3,3,2000,2004-03-01,1,15,0,1,1,202206.0,3,3,1,0,6,36613.0,98962.0,98962.0,C60,,2004.0,Environment,0
200459625,CENTER FOR HUMAN RIGHTS AND JUSTICE,% NICHOLAS OAKLEY,4293 MEMORIAL WAY NE,SEATTLE,WA,98195-0001,0,3,3,1000,2007-07-01,1,16,0,5,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,R990,,2007.0,"Civil Rights, Social Action & Advocacy",0
200496103,NORTHWEST COMMUNITY LAND TRUST COALITION,% HOMESTEAD CLT,412 MAYNARD AVE S STE 201,SEATTLE,WA,98104-2917,0,3,3,1000,2005-01-01,1,15,0,1,1,202212.0,3,3,1,0,12,71902.0,61258.0,61258.0,C34,,2005.0,Environment,0
200833537,MANGROVE ACTION PROJECT,% ALFRED QUARTO,1455 NW LEARY WAY STE 400,SEATTLE,WA,98107-5138,0,3,3,1200,2006-09-01,1,15,0,1,1,202112.0,4,4,1,0,12,166517.0,309144.0,309144.0,C32,,2006.0,Environment,0
201484989,PEARLMAN ASSOCIATION,% MARY LYNN KOTANSKY,PO BOX 34670,SEATTLE,WA,98124-1670,0,6,3,2000,2021-01-01,0,0,0,1,1,202012.0,3,0,2,0,12,74616.0,0.0,0.0,R03,,2021.0,"Civil Rights, Social Action & Advocacy",0
201627314,WESTWIND STEWARDSHIP GROUP,% DUNCAN BERRY,5933 NE WIN SIVERS DR,PORTLAND,OR,97220-9056,0,3,3,1200,2005-10-01,1,16,0,1,1,202112.0,6,6,1,0,12,4189393.0,1621213.0,1593206.0,C34,,2005.0,Environment,0
202222347,FLINT HILLS TALLGRASS PRAIRIE HERITAGE FOUNDATION INC,% A SCOTT RITCHIE,PO BOX 783188,WICHITA,KS,67278-3188,0,3,3,1000,2005-05-01,1,15,0,1,1,202012.0,0,0,2,0,12,0.0,0.0,0.0,C50,,2005.0,Environment,0
203710367,ECOLOGY IN CLASSROOMS AND OUTDOORS NORTHWEST,% GWENDOLINE VAN DOOSSELAERE,PO BOX 90293,PORTLAND,OR,97290-0293,0,3,3,1000,2007-01-01,1,16,0,1,1,202212.0,6,5,1,0,12,1725534.0,527909.0,527909.0,C60,ECO NW,2007.0,Environment,0
203864639,FARRINGTON FOUNDATION,% SMADAR FRIED LANDER,817 E ALLISON ST,SEATTLE,WA,98102-3803,0,3,3,1000,2008-09-01,1,15,0,1,1,201912.0,0,0,2,0,12,0.0,0.0,0.0,C34,,2008.0,Environment,0
204146260,WATER AND SANITATION HEALTH,% ERIC HARRISON,5400 CALIFORNIA AVE SW STE E,SEATTLE,WA,98136-1501,0,3,3,1000,2006-07-01,1,15,0,1,1,202212.0,4,4,1,0,12,495033.0,219513.0,219513.0,C32,,2006.0,Environment,0
204629856,DUWAMISH RIVER CLEANUPCOALITION-TECHNICAL ADVISORY GROUP,% PAULINA LOPEZ,7400 3RD AVE S,SEATTLE,WA,98108-4143,0,3,3,2000,2006-04-01,1,15,0,1,1,202112.0,6,6,1,0,12,1812120.0,1219435.0,1219435.0,C01,,2006.0,Environment,0
204695171,HALPRIN LANDSCAPE CONSERVANCY,% MARY MCINELLY,PO BOX 28367,PORTLAND,OR,97228-8367,0,3,3,1000,2008-11-01,1,15,0,1,1,202112.0,3,4,1,0,12,53201.0,148713.0,148713.0,C50,,2008.0,Environment,0
205090246,GREEN ELECTRONICS COUNCIL,,PO BOX 12149,PORTLAND,OR,97212-0149,0,4,3,1200,2006-11-01,1,0,0,1,1,202112.0,7,7,1,0,12,5076747.0,7964396.0,3858996.0,C05,,2006.0,Environment,0
205920901,MICHELLES EARTH FOUNDATION,% JOHN-CHARLES QUINN,1022 SAINT PETER STREET,NEW ORLEANS,LA,70116-3424,0,3,3,1200,2007-01-01,1,15,0,1,1,202012.0,0,0,2,0,12,0.0,0.0,0.0,C60,,2007.0,Environment,0
208024733,FINCA DOS LADOS REFORESTATION ANDRESEARCH PROJECT,% AARON D CLARK,1534 NE 140TH ST,SEATTLE,WA,98125-3226,0,3,3,2000,2008-01-01,1,15,0,1,1,202112.0,0,0,2,0,12,0.0,0.0,0.0,C60,,2008.0,Environment,0
208151937,GREEN LIGHT NEW ORLEANS,,8203 JEANNETTE ST,NEW ORLEANS,LA,70118-2852,0,3,3,2100,2007-12-01,1,15,0,1,1,202112.0,4,4,1,0,12,151899.0,367366.0,367366.0,C35,,2007.0,Environment,0
208763972,WASHINGTON WOMEN FOR CLIMATE ACTION NOW,% CHERI CORNELL,1402 3RD AVE STE 1305,SEATTLE,WA,98101-2194,0,3,3,1000,2009-08-01,1,15,0,1,1,202012.0,0,0,2,0,12,0.0,0.0,0.0,C200,,2009.0,Environment,0
223952634,SOCIETY FOR PLANT SIGNALING AND BEHAVIOR,% ELIZABETH VAN VOLKENBURGH,PO BOX 351800,SEATTLE,WA,98195-1800,0,3,3,2000,2015-05-01,1,16,0,1,1,202212.0,1,1,2,0,12,1.0,300.0,300.0,C41,,2015.0,Environment,0
237048829,AMERICAN CIVIL LIBERTIES FOUNDATION OF OREGON INC,,221 NW 2ND AVE STE 206,PORTLAND,OR,97209-3982,0,3,3,1000,1969-12-01,1,15,460124449,1,1,202203.0,6,6,1,0,3,2900650.0,1032737.0,1032737.0,R600,,1969.0,"Civil Rights, Social Action & Advocacy",0
237076867,AMERICAN CIVIL LIBERTIES UNION OF WASHINGTON FOUNDATION,,PO BOX 2728,SEATTLE,WA,98111-2728,0,3,3,1000,1970-09-01,1,15,430000000,5,1,202203.0,9,8,1,0,3,57896259.0,13535800.0,9471494.0,R600,,1970.0,"Civil Rights, Social Action & Advocacy",0
237293689,SEATTLE GARDEN CLUB,% CENTER FOR URBAN HORTICULTURE,PO BOX 354115,SEATTLE,WA,98195-4115,0,3,3,1200,1995-05-01,1,15,119402356,1,1,202205.0,5,4,1,0,5,568526.0,140442.0,137405.0,C41,,1995.0,Environment,0
237421080,NORTHWEST ENVIRONMENTAL ADVOCATES,% NINA BELL,PO BOX 12187,PORTLAND,OR,97212-0187,0,3,3,1200,1982-12-01,1,16,124059000,1,1,202212.0,4,3,1,0,12,237911.0,76167.0,76167.0,C013,,1982.0,Environment,0
237432820,OREGON NATURAL RESOURCES COUNCIL FUND,% SEAN STEVENS,5825 N GREELEY AVE,PORTLAND,OR,97217-4145,0,3,3,2000,1975-04-01,1,15,350354355,1,1,202209.0,6,6,1,0,9,3238176.0,2507309.0,2503020.0,C300,OREGON WILD,1975.0,Environment,0
260219031,UMBRELLA,% RAY THOMAS,PO BOX 14442,PORTLAND,OR,97293-0442,0,3,3,2000,2007-10-01,1,15,0,1,1,202206.0,0,0,2,0,6,0.0,0.0,0.0,C60,,2007.0,Environment,0
260573960,FUSE WASHINGTON,% CHRISTOPHER MCCULLOUGH,PO BOX 4897,SEATTLE,WA,98194-0897,0,4,3,1000,2007-12-01,2,0,0,1,1,202206.0,6,6,1,0,6,1119018.0,1053926.0,1053176.0,C20,,2007.0,Environment,0
260832933,WASHINGTON BUS,% JESSICA JONES,1801 12TH AVE STE A,SEATTLE,WA,98122-2474,0,4,3,2000,2009-11-01,2,0,0,1,1,202112.0,4,3,1,0,12,182336.0,69894.0,69894.0,R40,,2009.0,"Civil Rights, Social Action & Advocacy",0
261382433,HANFORD CHALLENGE,% TOM CARPENTER,2317 E JOHN ST,SEATTLE,WA,98112-5412,0,3,3,1200,2008-07-01,1,15,0,1,1,202112.0,4,5,1,0,12,259323.0,697983.0,697983.0,C20,,2008.0,Environment,0
261424697,COASTAL AND ESTUARINE RESEARCH FEDERATION,,2150 N 107TH ST STE 205,SEATTLE,WA,98133-9009,0,3,3,1200,2009-01-01,1,16,0,1,1,202112.0,6,5,1,0,12,1976458.0,903155.0,903155.0,C052,,2009.0,Environment,0
261453582,WASHINGTON BUS EDUCATION FUND,,1801 12TH AVE STE A,SEATTLE,WA,98122-2474,0,3,3,1200,2009-09-01,1,15,0,1,1,202112.0,5,5,1,0,12,530753.0,611262.0,611262.0,R40,,2009.0,"Civil Rights, Social Action & Advocacy",0
261499049,FIX DEMOCRACY FIRST EDUCATION FUND,% ALICE WOLDT,1402 3RD AVE STE 500,SEATTLE,WA,98101-2130,0,3,3,2000,2009-03-01,1,15,0,1,1,202212.0,4,4,1,0,12,165006.0,293246.0,293246.0,R40,,2009.0,"Civil Rights, Social Action & Advocacy",0
261669456,OREGON LEAGUE OF MINORITY VOTERS,,1400 SW 5TH AVE STE 280,PORTLAND,OR,97201-5540,0,3,3,1200,2020-09-01,1,15,0,1,1,202112.0,3,4,1,0,12,89414.0,195851.0,195851.0,R40,,2020.0,"Civil Rights, Social Action & Advocacy",0
261710999,GUY HARVEY OCEAN FUND INC,% JESSICA HARVEY,757 SE 17TH ST SUITE 217,FORT LAUDERDALE,FL,33316-2960,0,3,3,2000,2021-02-01,1,15,0,1,1,202112.0,6,6,1,0,12,3952649.0,4809537.0,4598327.0,C32,,2021.0,Environment,0
262009310,FRIENDS OF THE SAVANNAH COASTAL WILDLIFE REFUGES,% RICK SHIELDS,PO BOX 16841,SAVANNAH,GA,31416-3541,0,3,3,1000,2014-09-01,1,15,0,1,1,202212.0,3,2,2,0,12,51261.0,23339.0,22839.0,C11,,2014.0,Environment,0
262151271,WILD ME,,1726 N TERRY ST,PORTLAND,OR,97217-6543,0,3,3,2000,2008-08-01,1,15,0,1,1,202112.0,5,6,1,0,12,701458.0,1545314.0,1545314.0,C05,,2008.0,Environment,0
262215107,SOLTREKKER,% TY ADAMS,5523 NE SIMPSON ST,PORTLAND,OR,97218-2327,0,3,3,1200,2008-09-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C30,,2008.0,Environment,0
262558741,HUMANE WATER CORPORATION,,2516 N BRANDON CIR,WICHITA,KS,67226-4514,0,3,1,1000,2009-07-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C20,,2009.0,Environment,0
263164616,FRIENDS OF ROCK CREEK,,4545 NW NESKOWIN AVE,PORTLAND,OR,97229-2805,0,4,3,3000,2009-02-01,2,0,0,1,1,202206.0,0,0,2,0,6,0.0,0.0,0.0,C34,,2009.0,Environment,0
263396186,OREGON INTERFAITH MOVEMENT FOR IMMIGRANT JUSTICE,% ROBERT BROWN,1704 NE 43RD AVE,PORTLAND,OR,97213-1402,0,3,3,1000,2014-11-01,1,15,0,1,1,202112.0,3,4,1,0,12,89364.0,202050.0,202050.0,R01,,2014.0,"Civil Rights, Social Action & Advocacy",0
263478655,FOUNDATION FOR PUGET SOUND,% PHILIP LLOYD,PO BOX 21961,SEATTLE,WA,98111-3961,0,3,3,1200,2009-02-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C30,,2009.0,Environment,0
263588441,SKIDAWAY AUDUBON INC,% SHARI S HALDEMAN,600 LANDINGS WAY SOUTH,SAVANNAH,GA,31411-2854,0,3,3,1200,2009-03-01,1,16,0,1,1,202112.0,3,3,1,0,12,74739.0,87873.0,62298.0,C30,,2009.0,Environment,0
263624116,CLEAN WATER FOUNDATION A NONPROFIT CORPORATION,,8848 STONE AVE N,SEATTLE,WA,98103-2103,0,3,3,1000,2011-01-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C32,,2011.0,Environment,0
263757028,CENTER FOR DIVERSITY & THE ENVIRONMENT,,5431 NE 20TH AVENUE 16,PORTLAND,OR,97211-5509,0,3,3,1000,2010-09-01,1,15,0,1,1,202112.0,6,5,1,0,12,1780621.0,554294.0,554294.0,C60,,2010.0,Environment,0
263921408,WIN WIN ACTION,,5608 17TH AVENUE NW STE 1503,SEATTLE,WA,98107-5232,0,4,3,1000,2011-05-01,2,0,0,1,1,202112.0,4,4,1,0,12,322582.0,324460.0,324460.0,R20,,2011.0,"Civil Rights, Social Action & Advocacy",0
263951519,FORUM FOR EQUALITY LOUISIANA,% SARAHJANE BRADY,4519 S CLAIBORNE AVE,NEW ORLEANS,LA,70125-5007,0,4,3,1000,2009-03-01,2,0,0,1,1,202112.0,0,0,2,0,12,0.0,0.0,0.0,R26,,2009.0,"Civil Rights, Social Action & Advocacy",0
264169150,AGAINST ONE SIDED MEASURES,,PO BOX 42307,PORTLAND,OR,97242-0307,0,4,0,3000,,0,0,0,0,1,202212.0,6,4,1,0,12,1195581.0,121964.0,121964.0,R60,,,"Civil Rights, Social Action & Advocacy",0
264545836,FRIENDS OF WEST END INC,% PHILIP E JAMES JR,300 BOARD OF TRADE PL,NEW ORLEANS,LA,70130-2431,0,3,3,1000,2009-08-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C99,,2009.0,Environment,0
270280239,GREEN VEGANS,% WILL ANDERSON,2122 8TH AVENUE N,SEATTLE,WA,98109-2491,0,3,3,1200,2013-06-01,1,15,0,1,1,202112.0,0,0,2,0,12,0.0,0.0,0.0,C60,,2013.0,Environment,0
270369494,WE LOVE CLEAN RIVERS INC,% KRISTIN DAHL,2504 SE TIBBETTS ST,PORTLAND,OR,97202-2153,0,3,3,1000,2009-10-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C20,,2009.0,Environment,0
