CITY,Not Required to File,Required to File,Total,Percentage_Not_Required_to_File
CHICAGO,6015,13736,19751,30.45415422003949
WICHITA,598,1496,2094,28.557784145176697
LAUREL,182,480,662,27.492447129909365
FORT LAUDERDALE,75,236,311,24.115755627009648
SAVANNAH,317,1069,1386,22.87157287157287
ROCHESTER,616,2123,2739,22.48995983935743
NEW ORLEANS,770,2736,3506,21.962350256702795
NASHUA,81,296,377,21.485411140583555
PORTLAND,1127,4825,5952,18.93481182795699
SEATTLE,1134,4875,6009,18.871692461308037
LEWISTON,40,193,233,17.167381974248926
RALEIGH,749,3676,4425,16.926553672316384
ALEXANDRIA,422,2547,2969,14.213539912428427
WASHINGTON,1630,12052,13682,11.913462944014034
